"performing_country","voting_type","voting_country","points_awarded"
"albania","jury","albania",0
"albania","jury","australia",0
"albania","jury","austria",0
"albania","jury","azerbaijan",0
"albania","jury","belgium",0
"albania","jury","bulgaria",0
"albania","jury","croatia",0
"albania","jury","cyprus",0
"albania","jury","czech republic",0
"albania","jury","denmark",7
"albania","jury","estonia",0
"albania","jury","finland",0
"albania","jury","france",0
"albania","jury","georgia",0
"albania","jury","germany",0
"albania","jury","greece",0
"albania","jury","iceland",0
"albania","jury","ireland",0
"albania","jury","israel",0
"albania","jury","italy",0
"albania","jury","latvia",0
"albania","jury","lithuania",0
"albania","jury","malta",12
"albania","jury","moldova",0
"albania","jury","netherlands",1
"albania","jury","north macedonia",0
"albania","jury","norway",0
"albania","jury","poland",0
"albania","jury","portugal",0
"albania","jury","romania",0
"albania","jury","russia",0
"albania","jury","san marino",2
"albania","jury","serbia",0
"albania","jury","slovenia",0
"albania","jury","spain",0
"albania","jury","sweden",0
"albania","jury","switzerland",0
"albania","jury","ukraine",0
"albania","jury","united kingdom",0
"azerbaijan","jury","albania",2
"azerbaijan","jury","australia",0
"azerbaijan","jury","austria",0
"azerbaijan","jury","azerbaijan",0
"azerbaijan","jury","belgium",0
"azerbaijan","jury","bulgaria",0
"azerbaijan","jury","croatia",0
"azerbaijan","jury","cyprus",0
"azerbaijan","jury","czech republic",0
"azerbaijan","jury","denmark",0
"azerbaijan","jury","estonia",0
"azerbaijan","jury","finland",0
"azerbaijan","jury","france",0
"azerbaijan","jury","georgia",5
"azerbaijan","jury","germany",0
"azerbaijan","jury","greece",0
"azerbaijan","jury","iceland",0
"azerbaijan","jury","ireland",2
"azerbaijan","jury","israel",2
"azerbaijan","jury","italy",0
"azerbaijan","jury","latvia",0
"azerbaijan","jury","lithuania",0
"azerbaijan","jury","malta",0
"azerbaijan","jury","moldova",6
"azerbaijan","jury","netherlands",2
"azerbaijan","jury","north macedonia",0
"azerbaijan","jury","norway",0
"azerbaijan","jury","poland",0
"azerbaijan","jury","portugal",0
"azerbaijan","jury","romania",0
"azerbaijan","jury","russia",8
"azerbaijan","jury","san marino",0
"azerbaijan","jury","serbia",0
"azerbaijan","jury","slovenia",0
"azerbaijan","jury","spain",0
"azerbaijan","jury","sweden",0
"azerbaijan","jury","switzerland",2
"azerbaijan","jury","ukraine",3
"azerbaijan","jury","united kingdom",0
"belgium","jury","albania",0
"belgium","jury","australia",0
"belgium","jury","austria",0
"belgium","jury","azerbaijan",3
"belgium","jury","belgium",0
"belgium","jury","bulgaria",0
"belgium","jury","croatia",0
"belgium","jury","cyprus",4
"belgium","jury","czech republic",3
"belgium","jury","denmark",0
"belgium","jury","estonia",0
"belgium","jury","finland",0
"belgium","jury","france",6
"belgium","jury","georgia",0
"belgium","jury","germany",0
"belgium","jury","greece",3
"belgium","jury","iceland",0
"belgium","jury","ireland",3
"belgium","jury","israel",6
"belgium","jury","italy",5
"belgium","jury","latvia",0
"belgium","jury","lithuania",7
"belgium","jury","malta",0
"belgium","jury","moldova",0
"belgium","jury","netherlands",6
"belgium","jury","north macedonia",0
"belgium","jury","norway",0
"belgium","jury","poland",3
"belgium","jury","portugal",5
"belgium","jury","romania",0
"belgium","jury","russia",3
"belgium","jury","san marino",0
"belgium","jury","serbia",0
"belgium","jury","slovenia",6
"belgium","jury","spain",0
"belgium","jury","sweden",1
"belgium","jury","switzerland",0
"belgium","jury","ukraine",6
"belgium","jury","united kingdom",1
"bulgaria","jury","albania",0
"bulgaria","jury","australia",2
"bulgaria","jury","austria",5
"bulgaria","jury","azerbaijan",1
"bulgaria","jury","belgium",6
"bulgaria","jury","bulgaria",0
"bulgaria","jury","croatia",0
"bulgaria","jury","cyprus",5
"bulgaria","jury","czech republic",4
"bulgaria","jury","denmark",6
"bulgaria","jury","estonia",6
"bulgaria","jury","finland",10
"bulgaria","jury","france",0
"bulgaria","jury","georgia",4
"bulgaria","jury","germany",0
"bulgaria","jury","greece",8
"bulgaria","jury","iceland",8
"bulgaria","jury","ireland",1
"bulgaria","jury","israel",1
"bulgaria","jury","italy",0
"bulgaria","jury","latvia",5
"bulgaria","jury","lithuania",2
"bulgaria","jury","malta",0
"bulgaria","jury","moldova",12
"bulgaria","jury","netherlands",0
"bulgaria","jury","north macedonia",0
"bulgaria","jury","norway",6
"bulgaria","jury","poland",0
"bulgaria","jury","portugal",12
"bulgaria","jury","romania",2
"bulgaria","jury","russia",6
"bulgaria","jury","san marino",3
"bulgaria","jury","serbia",6
"bulgaria","jury","slovenia",0
"bulgaria","jury","spain",4
"bulgaria","jury","sweden",0
"bulgaria","jury","switzerland",10
"bulgaria","jury","ukraine",0
"bulgaria","jury","united kingdom",5
"cyprus","jury","albania",7
"cyprus","jury","australia",4
"cyprus","jury","austria",0
"cyprus","jury","azerbaijan",0
"cyprus","jury","belgium",0
"cyprus","jury","bulgaria",0
"cyprus","jury","croatia",0
"cyprus","jury","cyprus",0
"cyprus","jury","czech republic",0
"cyprus","jury","denmark",0
"cyprus","jury","estonia",0
"cyprus","jury","finland",0
"cyprus","jury","france",2
"cyprus","jury","georgia",0
"cyprus","jury","germany",7
"cyprus","jury","greece",12
"cyprus","jury","iceland",0
"cyprus","jury","ireland",0
"cyprus","jury","israel",3
"cyprus","jury","italy",0
"cyprus","jury","latvia",0
"cyprus","jury","lithuania",0
"cyprus","jury","malta",4
"cyprus","jury","moldova",1
"cyprus","jury","netherlands",0
"cyprus","jury","north macedonia",2
"cyprus","jury","norway",0
"cyprus","jury","poland",0
"cyprus","jury","portugal",0
"cyprus","jury","romania",0
"cyprus","jury","russia",2
"cyprus","jury","san marino",0
"cyprus","jury","serbia",0
"cyprus","jury","slovenia",0
"cyprus","jury","spain",6
"cyprus","jury","sweden",0
"cyprus","jury","switzerland",0
"cyprus","jury","ukraine",0
"cyprus","jury","united kingdom",0
"finland","jury","albania",3
"finland","jury","australia",0
"finland","jury","austria",1
"finland","jury","azerbaijan",0
"finland","jury","belgium",8
"finland","jury","bulgaria",1
"finland","jury","croatia",0
"finland","jury","cyprus",3
"finland","jury","czech republic",1
"finland","jury","denmark",8
"finland","jury","estonia",7
"finland","jury","finland",0
"finland","jury","france",0
"finland","jury","georgia",0
"finland","jury","germany",0
"finland","jury","greece",0
"finland","jury","iceland",5
"finland","jury","ireland",0
"finland","jury","israel",0
"finland","jury","italy",10
"finland","jury","latvia",4
"finland","jury","lithuania",0
"finland","jury","malta",2
"finland","jury","moldova",0
"finland","jury","netherlands",0
"finland","jury","north macedonia",0
"finland","jury","norway",0
"finland","jury","poland",2
"finland","jury","portugal",0
"finland","jury","romania",8
"finland","jury","russia",0
"finland","jury","san marino",1
"finland","jury","serbia",10
"finland","jury","slovenia",4
"finland","jury","spain",0
"finland","jury","sweden",0
"finland","jury","switzerland",1
"finland","jury","ukraine",0
"finland","jury","united kingdom",4
"france","jury","albania",10
"france","jury","australia",7
"france","jury","austria",8
"france","jury","azerbaijan",4
"france","jury","belgium",0
"france","jury","bulgaria",7
"france","jury","croatia",6
"france","jury","cyprus",7
"france","jury","czech republic",10
"france","jury","denmark",0
"france","jury","estonia",10
"france","jury","finland",7
"france","jury","france",0
"france","jury","georgia",0
"france","jury","germany",12
"france","jury","greece",5
"france","jury","iceland",6
"france","jury","ireland",12
"france","jury","israel",8
"france","jury","italy",3
"france","jury","latvia",3
"france","jury","lithuania",5
"france","jury","malta",3
"france","jury","moldova",4
"france","jury","netherlands",12
"france","jury","north macedonia",7
"france","jury","norway",4
"france","jury","poland",0
"france","jury","portugal",6
"france","jury","romania",4
"france","jury","russia",0
"france","jury","san marino",12
"france","jury","serbia",12
"france","jury","slovenia",2
"france","jury","spain",12
"france","jury","sweden",6
"france","jury","switzerland",12
"france","jury","ukraine",10
"france","jury","united kingdom",12
"germany","jury","albania",0
"germany","jury","australia",0
"germany","jury","austria",2
"germany","jury","azerbaijan",0
"germany","jury","belgium",0
"germany","jury","bulgaria",0
"germany","jury","croatia",0
"germany","jury","cyprus",0
"germany","jury","czech republic",0
"germany","jury","denmark",0
"germany","jury","estonia",0
"germany","jury","finland",0
"germany","jury","france",0
"germany","jury","georgia",0
"germany","jury","germany",0
"germany","jury","greece",0
"germany","jury","iceland",0
"germany","jury","ireland",0
"germany","jury","israel",0
"germany","jury","italy",0
"germany","jury","latvia",0
"germany","jury","lithuania",0
"germany","jury","malta",0
"germany","jury","moldova",0
"germany","jury","netherlands",0
"germany","jury","north macedonia",0
"germany","jury","norway",0
"germany","jury","poland",0
"germany","jury","portugal",0
"germany","jury","romania",1
"germany","jury","russia",0
"germany","jury","san marino",0
"germany","jury","serbia",0
"germany","jury","slovenia",0
"germany","jury","spain",0
"germany","jury","sweden",0
"germany","jury","switzerland",0
"germany","jury","ukraine",0
"germany","jury","united kingdom",0
"greece","jury","albania",6
"greece","jury","australia",0
"greece","jury","austria",0
"greece","jury","azerbaijan",10
"greece","jury","belgium",0
"greece","jury","bulgaria",8
"greece","jury","croatia",0
"greece","jury","cyprus",12
"greece","jury","czech republic",0
